nct_id,title,condition,intervention,enrollment,phase,completion_date,outcomes,results,descriptions,is_digital,effect_size,statistical_significance,clinical_relevance,is_placebo_trial,is_open_label,study_type,status
NCT00072579,Sargramostim in Treating Patients With Chronic Phase Chronic Myelogenous Leukemia Who Are Not in Complete Cytogenetic Remission Following Initial Treatment,Leukemia,sargramostim,0,PHASE2,Not specified,Not specified,Not specified,Sargramostim in Treating Patients With Chronic Phase Chronic Myelogenous Leukemia Who Are Not in Complete Cytogenetic Remission Following Initial Treatment,True,0.2,False,High,False,False,INTERVENTIONAL,COMPLETED
NCT06714279,Laparoscopic-Assisted Transversus Abdominus Plane Block Versus Intraperitoneal Irrigation of Local Anesthetic for Patients Undergoing Laparoscopic Cholecystectomy,"Laparoscopic Cholecystectomy, TAP Block, Local Anesthetic",Tap Block - Bupivacaine; Intraperitoneal infiltration to liver,144,PHASE1,Not specified,Not specified,Not specified,Laparoscopic-Assisted Transversus Abdominus Plane Block Versus Intraperitoneal Irrigation of Local Anesthetic for Patients Undergoing Laparoscopic Cholecystectomy,True,0.3,True,High,True,True,INTERVENTIONAL,NOT_YET_RECRUITING
NCT03878979,Preoperative Immune Checkpoint Inhibitor for Patients With Primary Untreated or Recurrent/Metastatic SCCHN,"Head and Neck Squamous Cell Carcinoma, Head and Neck Cancer, Head and Neck Cancer Metastatic",Nivolumab 480mg and surgical resection,26,PHASE2,Not specified,Not specified,Not specified,Preoperative Immune Checkpoint Inhibitor for Patients With Primary Untreated or Recurrent/Metastatic SCCHN,True,0.2,False,High,False,False,INTERVENTIONAL,COMPLETED
NCT03058679,Trial of Specific Carbohydrate and Mediterranean Diets to Induce Remission of Crohn's Disease,Crohn Disease,Diet,197,NA,Not specified,Not specified,Not specified,Trial of Specific Carbohydrate and Mediterranean Diets to Induce Remission of Crohn's Disease,True,0.2,True,High,False,True,INTERVENTIONAL,COMPLETED
NCT00684879,Screening Behavior in Adults With Hereditary Hemorrhagic Telangiectasia,"Osler-Rendu-Weber Disease, Osler-Rendu Disease, Telangiectasia, Hereditary Hemorrhagic",Not specified,320,Not specified,Not specified,Not specified,Not specified,Screening Behavior in Adults With Hereditary Hemorrhagic Telangiectasia,True,0.2,True,High,False,False,OBSERVATIONAL,COMPLETED
NCT05591079,"A Study to Assess the Safety, Tolerability, Pharmacokinetics and Efficacy of CS0159 in Subjects With NASH",Nonalcoholic Steatohepatitis (NASH),CS0159 (Linafexor),99,PHASE2,Not specified,Not specified,Not specified,"A Study to Assess the Safety, Tolerability, Pharmacokinetics and Efficacy of CS0159 in Subjects With NASH",False,0.3,True,Medium,True,False,INTERVENTIONAL,COMPLETED
NCT01353079,Efficacy and Safety Study Of Short Ragweed Pollen Sublingual-Oral Immunotherapy,Allergy,Short Ragweed Pollen Allergenic Extract; Placebo,429,PHASE3,Not specified,Not specified,Not specified,Efficacy and Safety Study Of Short Ragweed Pollen Sublingual-Oral Immunotherapy,False,0.3,True,High,True,False,INTERVENTIONAL,COMPLETED
NCT03793179,Testing the Timing of Pembrolizumab Alone or With Chemotherapy as First Line Treatment and Maintenance in Non-small Cell Lung Cancer,"Lung Non-Squamous Non-Small Cell Carcinoma, Stage IIIB Lung Cancer AJCC v8, Stage IIIC Lung Cancer AJCC v8, Stage IV Lung Cancer AJCC v8",Biospecimen Collection; Carboplatin; Computed Tomography; Magnetic Resonance Imaging; Pembrolizumab; Pemetrexed; Positron Emission Tomography,600,PHASE3,Not specified,Not specified,Not specified,Testing the Timing of Pembrolizumab Alone or With Chemotherapy as First Line Treatment and Maintenance in Non-small Cell Lung Cancer,True,0.2,True,High,False,False,INTERVENTIONAL,ACTIVE_NOT_RECRUITING
NCT03786679,Non-operative Treatment in Sweden of Proximal Humeral Fractures,Proximal Humeral Fracture,Ultrasling ER III orthosis,400,NA,Not specified,Not specified,Not specified,Non-operative Treatment in Sweden of Proximal Humeral Fractures,True,0.2,True,High,False,False,INTERVENTIONAL,UNKNOWN
NCT03235479,Safety and Efficacy Study in Adult Subjects With Acute Migraines,"Migraine, With or Without Aura",Rimegepant; Placebo,1485,PHASE3,Not specified,Not specified,Not specified,Safety and Efficacy Study in Adult Subjects With Acute Migraines,False,0.3,True,High,True,False,INTERVENTIONAL,COMPLETED
